MM Index|Meaning|Type|Explanation|Rules|Example|Opposite|Synonym
7306|defeat, beat, succeed, win|VrugT|||||
7307|assign, allot, divide among, distribute, prorate, assess, apportion, allocate|VrugT|||||
7308|roll, tumble, fall over, roll over, lie down, be scattered about, be common, change (of a situation or outcome), turn out|VrugI|||||
7309|lie down, stretch out|VrugI|||||
7310|lie ahead (of danger, difficulty, etc.), lie in wait|VrugI|||||
7311|throw oneself down|VrugI|||||
7312|sleep, lie down|VrugI|||||
7313|take dictation|VrugT|||||
7314|write down (what someone says), take down dictation, take notes (e.g. of a lecture)|VrugT|||||
7315|copy out (a text)|VrugT|||||
7316|smell sweet, be fragrant|VrugI|||||
7317|become bright, become clear|VrugI|||||
7318|pull, draw, pull tight|VrugT|||||
7319|string (lines), run (cable), stretch|VrugT|||||
7320|pull towards oneself (e.g. someone's sleeve)|VrugT|||||
7321|drag, haul, tow|VrugT|||||
7322|lead (e.g. one's followers)|VrugT|||||
7323|take someone somewhere (e.g. a suspect to the police)|VrugT|||||
7324|tempt into joining, strongly invite to join|VrugT|||||
7325|delay, prolong|VrugT|||||
7326|lengthen the pronunciation (of a word)|VrugT|||||
7327|quote, cite, reference|VrugT|||||
7328|pull the ball|VrugT|||||
7329|wear, put on|VrugT|||||
7330|talk, chatter, tell (e.g. secrets)|VrugI|||||
7331|bring home|VrugT|||||
7332|swarm, gather|VrugI|||||
7333|be (formal, literary)|VrugI|||||
7334|is|VrugI|||||
7335|die (slang), be exhausted|VrugI|||||
7336|feel contempt for, feel disdain for, feel hatred for|VrugI|||||
7337|rampage, riot|VrugI|||||
7338|weave|VrugT|||||
7339|break, fracture, break off, snap off, split off, pick (e.g. flowers), fold, bend, interrupt, end|VrugT|||||
7340|happen to pass by, pass by|VrugI|||||
7341|manipulate, operate, handle, steer, mastermind, pull the strings, control from the shadows, play (a musical instrument)|VrugT|||||
7342|manage hold on|VrugI|||||
7343|get away, manage to hold on|VrugI|||||
7344|run from place to place|VrugI|||||
7345|hang from, dangle, swing|VrugI|||||
7346|become less capable, grow dull, become blunt, weaken|VrugI|||||
7347|touch, be in contact, be affixed, succeed, be cruised, spoil (of a fruit)|VrugI|||||
7348|be hit, strike|VrugI|||||
7349|be equivalent to, be applicable, apply to|VrugI|||||
7350|be right on the money (of a prediction, criticism, etc.)|VrugI|||||
7351|be selected (in a lottery, etc.), win|VrugI|||||
7352|be successful, go well, be a hit|VrugI|||||
7353|face, confront|VrugI|||||
7354|lie (in the direction of)|VrugI|||||
7355|undertake, be assigned|VrugI|||||
7356|be stricken (by food poisoning, heat, etc.), be afflicted|VrugI|||||
7357|be called upon (by the teacher)|VrugI|||||
7358|treat (esp. harshly), lash out at|VrugI|||||
7359|be unnecessary|VrugI|||||
7360|be hitting well, be on a hitting streak|VrugI|||||
7361| fishing) to feel a bite|VrugI|||||
7362| fruit, etc.) to be bruised, spoil|VrugI|||||
7363|feel (something) out, probe into, check (i.e. by comparison)|VrugT|||||
7364|shave|VrugT|||||
7365|be a relative of a person, stand in a relationship|VrugT|||||
7366|feel something out|VrugT|||||
7367|be called on (e.g. by a teacher)|VrugI|||||
7368|feel a bite (in fishing)|VrugI|||||
7369|be a relative of a person, be a ... in relation to ..., stand in a relationship|VrugT|||||
7370|fit, get into, go into, be fit for, be suited for, satisfy (conditions), fall into, plunge into, get stuck, get caught, be deceived, be taken in, fall in a trap, be addicted to, be deep into, be crazy about, be stuck on|VrugI|||||
7371|fish|VrugI|||||
7372|look for, search for, hunt for, scavenge, scrounge, look through, rummage through|VrugT|||||
7373|go on a spree (spending, reading, etc.), binge|VrugI|||||
7374|sound, ring, resound, echo, roar, rumble|VrugI|||||
7375|elapse (time), spread (e.g. fire)|VrugI|||||
7376|move (house), transfer (department)|VrugI|||||
7377|change the target of interest or concern|VrugI|||||
7378|elapse (passage of time)|VrugI|||||
7379|be permeated by a colour or scent|VrugI|||||
7380|be infected, be contagious, spread (as in fire)|VrugI|||||
7381|stay at (e.g. hotel), lodge at|VrugI|||||
7382|be docked, be berthed, be moored|VrugI|||||
7383|fish, angle, catch|VrugT|||||
7384|lure in, tempt, attract, entice, allure|VrugT|||||
7385|descend, go down, come down|VrugI|||||
7386|be handed down (of an order, judgment, etc.)|VrugI|||||
7387|pass (of time)|VrugI|||||
7388|surrender, capitulate|VrugI|||||
7389|be less than, be inferior to|VrugI|||||
7390|have the runs, have diarrhea|VrugI|||||
7391|pass (in stool), be discharged from the body|VrugI|||||
7392|depreciate oneself, be humble|VrugI|||||
7393|see off (e.g. the station, an airport, etc.), farewell, see out, send off, watch a batted ball go in the stands|VrugT|||||
7394|see someone off (at a station, an airport, etc.), escort (e.g. home)|VrugT|||||
7395|follow something with one's eyes until it is out of sight|VrugT|||||
7396|let pass, pass up (an opportunity etc.), let a pitch go by (baseball), watch a batted ball go into the stands|VrugT|||||
7397|shelve (a plan, deliberation on a bill, etc.), postpone|VrugT|||||
7398|have someone related or close to you die, bury someone|VrugT|||||
7399|take care of somebody until he dies|VrugT|||||
7400|wait and see, continue (e.g. in legal contexts)|VrugT|||||
7401|measure, weigh, survey, time (sound, gauge, estimate), conjecture, infer, surmise|VrugT|||||
7402|spread (out), extend, stretch, reach to, get around, fill (e.g. a space)|VrugI|||||
7403|be subject (e.g. pressure)|VrugI|||||
7404|be added to, be appended|VrugI|||||
7405|join in (e.g. a group of friends), participate|VrugI|||||
7406|increase (e.g. heat), gain in (e.g. influence), grow, gather (speed)|VrugI|||||
7407|be applied (e.g. heat, pressure), be exerted|VrugI|||||
7408|refuse, reject, dismiss, turn down, decline|VrugT|||||
7409|inform, give notice, tell in advance|VrugT|||||
7410|ask leave, excuse oneself (from)|VrugT|||||
7411|be handed down, be introduced, be transmitted, be circulated, go along, walk along|VrugI|||||
7412|apply (a rule), be applicable, come under (a category), fulfill, hold true|VrugT|||||
7413|deal (cards)|VrugT|||||
7414|distribute, hand out, deliver, deal out, serve out|VrugT|||||
7415|allot, allocate, place (staff, soldiers, etc.), station|VrugT|||||
7416|shout (in anger), yell|VrugI|||||
7417|be caught, be arrested|VrugI|||||
7418|hold on to, grasp|VrugI|||||
7419|find (e.g. proof), get (e.g. a taxi)|VrugI|||||
7420|be detained by|VrugI|||||
7421|hold on to|VrugI|||||
7422|take charge of, receive on deposit|VrugT|||||
7423|look after, take care of, keep, hold on to, keep in custody|VrugT|||||
7424|be put in charge of, be given responsibility for, be entrusted with|VrugT|||||
7425|withhold (an announcement), reserve (judgment), leave undecided|VrugT|||||
7426|take upon oneself (to do), settle (a matter) oneself|VrugT|||||
7427|betray, turn traitor to, double-cross|VrugT|||||
7428|arrive at (e.g. a decision), reach (a stage), attain, lead (a place)|VrugI|||||
7429|lead to (a place), get to|VrugI|||||
7430|the extreme case of|VrugI|||||
7431|come, arrive, result in|VrugI|||||
7432|transmit, dispose of|VrugT|||||
7433|hand over, transfer, turn over, assign, convey, bequeath|VrugT|||||
7434|give up (e.g. one's seat), give way|VrugT|||||
7435|yield, concede, give ground, surrender|VrugT|||||
7436|sell|VrugT|||||
7437|postpone, put off, defer|VrugT|||||
7438|wring, squeeze, press|VrugT|||||
7439|be tied together, be connected to, be linked to|VrugI|||||
7440|lead to, be related to|VrugI|||||
7441|be related (by blood)|VrugI|||||
7442|shave|VrugT|||||
7443|be finished, be completed, be done|VrugI|||||
7444|be taught|VrugT|||||
7445|deepen, heighten, intensify|VrugI|||||
7446|tell, indicate|VrugT|||||
7447|demarcate, delimit, divide (an area), mark off, cut off|VrugT|||||
7448|punctuate, put an end to (e.g. a sentence), insert pauses or breaks (e.g. when reading aloud)|VrugT|||||
7449|punctuate, put an end (e.g. a sentence), insert pauses or breaks (e.g. when reading aloud)|VrugT|||||
7450|be blocked, be packed, hit the ball near the handle of the bat (baseball)|VrugI|||||
7451|approach, draw near|VrugI|||||
7452|be wet, become wet, be damp, be moist, be in low spirits, feel depressed|VrugI|||||
7453|hear, be told, know, receive (order), undertake, comply, take (a reservation, etc.)|VrugT|||||
7454|feel around for, fumble for, grope for, search for, look for|VrugT|||||
7455|investigate, probe into, spy on, sound out|VrugT|||||
7456|explore (parts unknown), enjoy (natural beauty)|VrugT|||||
7457|manufacture, build, construct on a large scale|VrugT|||||
7458|create, make, produce, manufacture, build, construct with an emphasis on creation|VrugT|||||
7459|shave (wood or leather), sharpen, plane, whittle, pare, scrape off, shave off (e.g. a budget, expenses, a salary, etc.), curtail, cut down, cross out, reduce, curtail, remove, erase, delete|VrugT|||||
7460|go around, return, surround, concern (usu. of disputes)|VrugI|||||
7461|be placed on, be set on, be piled on, be loaded on|VrugI|||||
7462|stretch breaking point|VrugI|||||
7463|be in high spirits, be full of vigor (vigour), be enthusiastic, be eager, stretch to breaking point|VrugI|||||
7464|go under, pass under|VrugI|||||
7465|dive (in or under water), get under, get into, get in, creep into, crawl under, bury oneself, burrow into, dig oneself into, snuggle under, hide oneself (esp. from the government), conceal oneself, go underground|VrugI|||||
7466|go upstream|VrugI|||||
7467|go back (in time, origin), date back to, trace back to, make retroactive|VrugI|||||
7468|hang, suspend (something from something), be hanged (by the neck)|VrugT|||||
7469|groan, moan, roar, howl, growl, hum, buzz, sough|VrugI|||||
7470|be resurrected, be resuscitated, be rehabilitated, be revived, be refreshed, be restored, be recalled (e.g. memories), be brought back|VrugI|||||
7471|bear fruit|VrugI|||||
7472|take over, take back, collect, claim, retire a private place|VrugT|||||
7473|take charge of, take custody of, look after, take care of, adopt|VrugT|||||
7474|retire to a private place, withdraw, get out|VrugT|||||
7475|rise, swell, be promoted|VrugI|||||
7476|be given, be granted, be honored with, be honoured with, give, bestow, confer, honor, honour|VrugT|||||
7477|turn head, look over one's shoulder, turn around, look back|VrugI|||||
7478|think back (on), reminisce, look back (on), reflect (on)|VrugT|||||
7479|invite contributions, etc., solicit help, participation, etc., recruit (e.g. soldiers)|VrugI|||||
7480|grow violent, become stronger, become worse|VrugT|||||
7481|remain, abide, stay (in the one place), be limited to, be confined to|VrugI|||||
7482|kill (a human) using a blade (sword, machete, knife, etc.), slice (off), lop (off), cut (off)|VrugT|||||
7483|be sufficient, be enough|VrugI|||||
7484|be worth doing, be worthy of, deserve|VrugI|||||
7485|do (the job), serve, answer|VrugI|||||
7486|stop (in one's tracks), come to a stop, halt, pause, stand still|VrugI|||||
7487|stand up, get up|VrugI|||||
7488|rise|VrugI|||||
7489|recover|VrugI|||||
7490|take action, start|VrugI|||||
7491|make the initial charge|VrugI|||||
7492|start up, boot up|VrugI|||||
7493|go by, go past, go along, travel along, pass through, use (a road), take (a route), go via, go by way of|VrugI|||||
7494|run (between), operate (between), connect|VrugI|Of public transport.||||
7495|go indoors, go in a room, be admitted, be shown in, be ushered in, come in|VrugI|||||
7496|penetrate, pierce, skewer, go through, come through|VrugI|||||
7497|permeate, soak into, spread throughout|VrugI|||||
7498|carry (e.g. of a voice), reach far|VrugI|||||
7499|be passed on (e.g. of a customer's order the kitchen), be relayed, be conveyed|VrugI|||||
7500|pass (a test, a bill in the House, etc.), be approved, be accepted|VrugI|||||
7501|go by (a name), be known as, be accepted as, have a reputation for|VrugI|||||
7502|be coherent, be logical, be reasonable, be comprehensible, be understandable, make sense|VrugI|||||
7503|get across (e.g. of one's point), be understood|VrugI|||||
7504|be straight (e.g. wood grain)|VrugI|||||
7505|go indoors, go into a room, be admitted, be shown in, be ushered in, come in|VrugI|||||
7506|be passed on (e.g. of a customer's order to the kitchen), be relayed, be conveyed|VrugI|||||
7507|be well-informed, be wise|VrugI|||||
7508|do ... completely, do ... thoroughly|VrugI|||||
7509|take away, kidnap|VrugT|||||
7510|turn, revolve, visit several places, function well, pass a certain time|VrugI|||||
7511|pass (an exam)|VrugI|||||
7512|pass (examination)|VrugI|||||
7513|wave, shake, swing, turn down (someone), carry with vigor, bring up the main topic|VrugT|||||
7514|sprinkle, throw (dice)|VrugT|||||
7515|cast (actor), allocate (work)|VrugT|||||
7516|turn down (somebody), reject, jilt, dump|VrugT|||||
7517|abandon, give up, ruin|VrugT|||||
7518|add kana indicating a reading of a word|VrugT|||||
7519|slightly change headings, change directions|VrugT|||||
7520|extract by broiling, prepare an infusion of, decoct|VrugT|||||
7521|carry with great vigor (e.g. a portable shrine)|VrugT|||||
7522|bring up a topic, lead to a topic|VrugT|||||
7523|replace, substitute|VrugT|||||
7524|set up a joke for somebody else|VrugT|||||
7525|be closed, be blocked, be healed (e.g. wound), be shut up, be clogged, be plugged up, be occupied, be taken (e.g. accommodation)|VrugI|||||
7526|plunder|VrugT|||||
7527|faint, be exhausted|VrugI|||||
7528|stop, abort, discontinue, close|VrugI|||||
7529|arrest, take prisoner, kill, get someone out (in baseball)|VrugI|||||
7530|break, smash, defeat, destroy, eliminate|VrugI|||||
7531|knock down, beat (someone) up|VrugI|||||
7532|pound away, hit at random, hit ceaselessly|VrugT|||||
7533|change places, relieve one another|VrugI|||||
7534|send, give to, award to, confer on|VrugT|||||
7535|give (as a gift), present|VrugT|||||
7536|confer, bestow, award|VrugT|||||
7537|remain, be left over, be in excess, be too many|VrugI|||||
7538|freeze, be frozen over, congeal|VrugI|||||
7539|approach, draw near, be imminent|VrugI|||||
7540|press (someone for something), urge, compel|VrugT|||||
7541|be reflected, harmonize with (harmonise), come out (photo), be projected|VrugI|||||
7542|be photographed, be projected|VrugI|||||
7543|be mixed, be blended with, associate with, mingle with, join|VrugI|||||
7544|serve (food, etc.), fill up, prescribe|VrugI|||||
7545|excel, surpass, exceed, have an edge, be superior, outrival, outweigh, preponderate|VrugI|||||
7546|stick, paste, affix, link|VrugI|||||
7547|illustrate|VrugI|||||
7548|compare (something) to, liken, speak figuratively, use a simile, use a metaphor|VruiT|||||
7549|be deep fried|VrugI|||||
7550|be arrested, turn up (of evidence, etc.), be listed (as a candidate)|VrugI|||||
7551|form, shape, make, mold, build up|VrugT|||||
7552|shake, jolt, rock (cradle), swing|VrugT|||||
7553|walk about, walk to and fro, pace around|VrugI|||||
7554|resound, echo, reverberate|VrugI|||||
7555|give (someone) a treat|VrugT|||||
7556|be extravagant, live luxuriously|VrugI|||||
7557|be proud, be haughty|VrugI|||||
7558|swell, rise, bulge, be piled up|VrugI|||||
7559|rouse, get excited|VrugI|||||
7560|stick into (of something with a sharp point), prick, pierce, get stuck (in), lodge (in)|VrugI|||||
7561|stick into, pierce, run into|VrugT|||||
7562|challenge (esp. in a lawsuit), take on an opponent (in negotiations, contest, etc.)|VrugT|||||
7563|weather (a storm, rough seas), ride across, sail across|VrugT|||||
7564|get through (adversity), weather, get over, tide over, overcome, survive|VrugT|||||
7565|load completely (e.g. books on a shelf, people or luggage in a car)|VrugI|||||
7566|crouch, squat, cower|VrugI|||||
7567|happen to pass by|VrugI|||||
7568|print|VrugT|||||
7569|color or pattern fabric using a wooden mold|VrugT|||||
7570|rub, chafe, strike (match), file, frost (glass)|VrugT|||||
7571|lose (e.g. a match), forfeit, squander one's money (e.g. through gambling, Pachinko, etc.)|VrugT|||||
7572|pick someone's pocket, pickpocket|VrugT|||||
7573|cut (grass, hair, etc.), mow, clip, trim, prune, shear, reap, harvest|VrugT|||||
7574|leave, go away|VrugI|||||
7575|pass, elapse|VrugI|||||
7576|be distant|VrugI|||||
7577|send away, drive off, divorce|VrugT|||||
7578|(do) completely|VrugT|||||
7579|survive|VrugI|||||
7580|collide with, crash into, bump against|VrugI|||||
7581|come to the end of (a street)|VrugI|||||
7582|run into (difficulties, problems, etc.), run up against|VrugI|||||
7583|run into, collide with, crash into, bump against|VrugI|||||
7584|taper to a point, become pointed, become sharp|VrugI|||||
7585|look displeased, look sour, be on edge, be touchy|VrugI|||||
7586|push in, force into, break in (e.g. into a house), intrude|VrugI|||||
7587|close up, shut up (e.g. behind doors)|VrugT|||||
7588|cut off (e.g. because a deadline has expired), close off (e.g. subscription list)|VrugT|||||
7589|dress up|VrugT|||||
7590|reach an extreme, reach a limit, terminate, come to an end|VrugI|||||
7591|remely|VrugI|||||
7592|be stuck, be in a dilemma, be at a loss|VrugI|||||
7593|be decided, be settled|VrugI|||||
7594|reach an extreme, reach a limit, terminate, come to an end|VrugI|||||
7595|tie up, tie together, bind, bundle, fasten|VrugT|||||
7596|hang (oneself)|VrugT|||||
7597|summarize, put (it all) together, consolidate|VrugT|||||
7598|estimate, expect|VrugT|||||
7599|tie-dye|VrugT|||||
7600|detain, check, restrain|VrugT|||||
7601|straddle, sit astride, mount|VrugI|||||
7602|extend over, spread over, span, extend into|VrugI|||||
7603|straddle, sit astride, mount|VrugI|||||
7604|be transparent, be see-through|VrugI|||||
7605|be clear (voice)|VrugI|||||
7606|declare, assert, state definitively|VrugT|||||
7607|finish saying, say it all, finish one's sentence|VrugT|||||
7608|be truant, play hooky, skip school, skip out, be idle, sabotage by slowness|VrugI|||||
7609|come near to, approach|VrugI|||||
7610|show signs of being, feel, think|VrugI|||||
7611|behave as if one were, pretend, act as if|VrugI|||||
7612|want, desire, be anxious to, be eager to|VrugI|||||
7613|weaken, grow weak, wane, decline (of one's health)|VrugI|||||
7614|be downcast, be dejected, be dispirited|VrugI|||||
7615|be troubled, be at a loss, be perplexed, be annoyed|VrugI|||||
7616|abate, weaken, be emaciated, be dejected, be perplexed|VrugI|||||
7617|give one's name (as), introduce oneself (as)|VrugI|||||
7618|claim to be, call oneself, wear the title of|VrugI|||||
7619|reveal oneself (as), admit to being|VrugI|||||
7620|adopt as one's name, take (a name)|VrugT|||||
7621|call out the goods one is selling|VrugI|||||
7622|talk about, speak of, tell, narrate|VrugT|||||
7623|recite, chant|VrugT|||||
7624|indicate, show|VrugT|||||
7625|lean against, recline on, lean on|VrugI|||||
7626|rely on, depend on|VrugI|||||
7627|gather together|VrugI|||||
7628|covet, lust for|VrugI|||||
7629|also be (implies that as well as the earlier stated this is also the case)|VrugI|||||
7630|be ... or something|VrugI|||||
7631|ascend, go up, climb|VrugI|||||
7632|ascend (as a natural process, e.g. the sun), rise|VrugI|||||
7633|go to (the capital)|VrugI|||||
7634|be promoted|VrugI|||||
7635|add up to|VrugI|||||
7636|advance (in price)|VrugI|||||
7637|swim up (a river), sail up|VrugI|||||
7638|come up (on the agenda)|VrugI|||||
7639|remain, abide, stay (in the one place)|VrugI|||||
7640|be limited to, be confined to|VrugI|||||
7641|gather, crowd round, swarm, flock|VrugI|||||
7642|extort from, sponge off|VrugI|||||
7643|drive a bargain, beat down the price, haggle|VrugT|||||
7644|be affected, be influenced|VrugI|||||
7645|be concerned with, have to do with|VrugI|||||
7646|stick to (opinions)|VrugI|||||
7647|be affected, be influenced|VrugI|||||
7648|drag along, pull|VrugT|||||
7649|force someone along|VrugT|||||
7650|prolong, drag out|VrugT|||||
7651|influence strongly, seduce|VrugT|||||
7652|be buried, be covered, be surrounded|VrugI|||||
7653|overflow, be crowded, be filled|VrugI|||||
7654|be repaid (e.g. debt), be replenished|VrugI|||||
7655|be filled (e.g. vacancy, schedule)|VrugI|||||
7656|shake, jolt, rock, swing, sway|VrugT|||||
7657|shake (e.g. the political world), disturb, shock, upset|VrugT|||||
7658|put off a batter (by varying one's type of pitch)|VrugT|||||
7659|perceive, sense, take in, grasp, feel|VrugT|||||
7660|come, arrive, be due to|VrugI|||||
7661|shake off, shake free from|VrugT|||||
7662|swing completely (bat, club, etc.), take a full swing|VrugT|||||
7663|break off from (pursuer), pull away|VrugT|||||
7664|reject (request), ignore|VrugT|||||
7665|stop by, drop in for a short visit|VrugI|||||
7666|regain one's footing, get back on one's feet|VrugI|||||
7667|recover, (of the market) to improve|VrugI|||||
7668|fall into (e.g. a hole)|VrugI|||||
7669|fall into (chaos, depression, dilemma, illness, etc.)|VrugI|||||
7670|fall into (a trap, etc.)|VrugI|||||
7671|fall, surrender, capitulate|VrugI|||||
7672|extend, stretch out, stand in a row|VrugI|||||
7673|attend, participate in|VrugI|||||
7674|enrol, enroll, join|VrugI|||||
7675|have a connection, be related, be linked|VrugI|||||
7676|throb, beat fast|VrugI|||||
7677|revive, come to oneself, be restored to life|VrugI|||||
7678|suck, lick|VrugT|||||
7679|turn up, roll up (e.g. sleeves)|VrugT|||||
7680|do over and over again, do relentlessly, do with reckless abandon|VrugI|||||
7681|stage a comeback (against) (in mahjong, horse racing, etc.), come from behind|VrugT|||||
7682|become overgrown, grow thick|VrugI|||||
7683|spread, run rampant, thrive, prevail, become powerful|VrugI|||||
7684|compromise, meet halfway|VrugI|||||
7685|step up to, walk up to, approach|VrugI|||||
7686|steal another's spouse, steal another's lover|VrugT|||||
7687|be renewed, change|VrugI|||||
7688|be improved, be reformed, be revised, be corrected|VrugI|||||
7689|stand on ceremony, be formal|VrugI|||||
7690|take a turn for the worse (of an illness), take a serious turn|VrugI|||||
7691|fan (oneself|VrugT|||||
7692|flap (in the wind)|VrugT|||||
7693|instigate, stir up, incite, agitate|VrugT|||||
7694|drive up prices (by buying a large amount of something)|VrugT|||||
7695|take a photo from a low angle|VrugT|||||
7696|tailgate|VrugT|||||
7697|disdain, look down on, make light of, hold in contempt, scorn, despise|VrugT|||||
7698|shorten, narrow, close|VrugI|||||
7699|be in disorder, lie scattered around|VrugI|||||
7700|be scattered about|VrugI|||||
7701|stammer, stutter|VrugI|||||
7702|persevere, persist, keep at it, hang on, hold out, do one's best|VrugI|||||
7703|insist that, stick to (one's opinion)|VrugI|||||
7704|remain in a place, stick to one's post, refuse to budge|VrugI|||||
7705|brace one's legs, straddle, stand firm, plant oneself (somewhere), hold out, persist|VrugI|||||
7706|take off, jump, leap|VrugT|||||
7707|take the plunge, decide, embark on, venture into, launch out into|VrugT|||||
7708|step out of the ring|VrugT;ZSm|||||
7709|gather in large groups|VrugI|||||
7710|make progress, move right ahead (with the work), advance|VrugI|||||
7711|be caught in, be stuck in|VrugI|||||
7712|stop by, drop in for a short visit, be delayed, take time|VrugI|||||
7713|get mixed up in (trouble), get entangled in (a problem), be involved with|VrugI|||||
7714|fall for (a trick), be deceived, be cheated|VrugI|||||
7715|be on one's mind, worry one, be bothered by, feel uneasy|VrugI|||||
7716|be obstructed, be hindered|VrugI|||||
7717|splash|VrugI|||||
7718|have a cramp, twitch, spasm|VrugI|||||
7719|stiffen (of a face, freeze, grow tight (e.g. of a voice)|VrugI|||||
7720|shrink (of skin, tauten|VrugI|||||
7721|become tense, be tightened|VrugI|||||
7722|be brought forward (e.g. by three hours), be moved up, be advanced|VrugI|||||
7723|be hasty, be rash|VrugI|||||
7724|quicken, speed up, gather speed|VrugI|||||
7725|bury, inter, entomb|VrugT|||||
7726|cover up, hush up, shelve|VrugT|||||
7727|boast of, be proud of|VrugI|||||
7728|be soaked in, be flooded, be submerged|VrugI|||||
7729|be immersed in (joy, give oneself over to, bask in|VrugI|||||
7730|become defiant, turn upon, become serious|VrugI|||||
7731|pity, sympathize with, sympathise with, treat with sympathy, console, be kind to, appreciate|VrugT|||||
7732|tend to (e.g. an injury), care for, nurse, soothe|VrugT|||||
7733|colour, color, paint|VrugT|||||
7734|apply make-up|VrugT|||||
7735|decorate, garnish, adorn, add flair|VrugT|||||
7736|diffuse, spread throughout, prevail, become widespread, reach everyone|VrugI|||||
7737|smoke (e.g. fire), billow smoke, smoulder, smolder|VrugI|||||
7738|be hazy, look dim|VrugI|||||
7739|affect, put on airs|VrugT|||||
7740|act like (something one isn't), pretend to be|VrugT|||||
7741|lean (to one side), incline|VrugI|||||
7742|be unbalanced (e.g. diet), be unduly weighted towards, be concentrated on|VrugI|||||
7743|be partial, be biased, be prejudiced|VrugI|||||
7744|overcome (opposition), push past, force one's way|VrugT|||||
7745|press and cut|VrugT|||||
7746|take over, capture, seize, commandeer, occupy, usurp|VrugT|||||
7747|hijack (vehicle|VrugT|||||
7748|die down (storm, anger, conflict, etc.), calm down, cool off, abate, be settled, be brought under control|VrugI|||||
7749|be at peace, be governed well|VrugI|||||
7750|subside (of pain, be alleviated, get better, ease off|VrugI|||||
7751|die down (storm, anger, conflict, etc.), calm down, cool off, abate, be settled, be brought under control|VrugI|||||
7752|subside (of pain, symptoms, etc.), be alleviated, get better, ease off|VrugI|||||
7753|fit into (a box, be contained within, fall within (e.g. a budget)|VrugI|||||
7754|settle down (into), be installed (in one's rightful place), be returned (to one's original position)|VrugI|||||
7755|settle into (one's position), take up (a post), occupy (a role)|VrugI|||||
7756|be delivered, be paid (e.g. taxes)|VrugI|||||
7757|be settled (dispute, be sorted, subside (e.g. wind), calm down, abate|VrugI|||||
7758|be satisfied (e.g. with an answer), consent, agree|VrugI|||||
7759|get heavy|VrugI|||||
7760|worsen (of illness), grow serious|VrugI|||||
7761|give up (a plan or idea), desist from (doing)|VrugT|||||
7762|change sides, double-cross, betray|VrugI|||||
7763|become muddy, become cloudy, get impure (of a liquid|VrugI|||||
7764|become dull (of a sound, become hoarse|VrugI|||||
7765|become impure (of a heart, be corrupted, be polluted|VrugI|||||
7766|become voiced, add voiced consonant marks|VrugI|||||
7767|suddenly understand (esp. on basis of experience or memory), come to mind, recall (in a flash), be reminded of, call to mind, think of, strike on, hit on an answer, seize the crux of a problem|VrugI|||||
7768|beg, pester, plead, coax, hound, importune|VrugT|||||
7769|be sticky, be adhesive|VrugI|||||
7770|persevere, persist, stick to, hold out, linger|VrugI|||||
7771|be conceited|VrugI|||||
7772|watch over, watch attentively|VrugT|||||
7773|leak, run out|VrugI|||||
7774|gaze at, fix one's eyes upon|VrugI|||||
7775|be found|VrugI|||||
7776|turn over, turn pages of a book|VrugT|||||
7777|tear off, strip off, tear up|VrugT|||||
7778|find resolution, be settled, be agreed on, be completed|VrugI|||||
7779|be collected, be assembled, be brought together|VrugI|||||
7780|be well arranged, be in order, be unified, take shape, be coherent|VrugI|||||
7781|become rounded, roll into a ball|VrugI|||||
7782|cross, intersect, join, meet|VrugI|||||
7783|associate with, mingle with, consort with|VrugI|||||
7784|have a sexual relationship, copulate|VrugI|||||
7785|tickle (one's curiosity, arouse, appeal to, flatter|VrugT|||||
7786|make laugh, amuse, entertain|VrugT|||||
7787|bring back, carry home, take out (e.g. food)|VrugT|||||
7788|draw (water), scoop up, dip up, pump out|VrugT|||||
7789|understand (someone's feelings, grasp, surmise, take into consideration|VrugT|||||
7790|hang on to, hang from, cling to|VrugI|||||
7791|hound, keep after (someone), refuse to back down, persist, tenaciously face (someone), doggedly oppose|VrugI|||||
7792|grab the front of the opponent's mawashi, place one's head against their chest, and lower one's hips|VrugI;ZSm|||||
7793|grow stiff|VrugI|||||
7794|be absorbed in, be devoted to, be a fanatic, elaborate|VrugI|||||
7795|hesitate to say, mumble, hem and haw, falter|VrugI|||||
7796|shut oneself in (e.g. one's room), be confined in, seclude oneself, hide away, stay inside (one's shell)|VrugI|||||
7797|be filled with (emotion|VrugI|||||
7798|fill the room (of a gas, be heavy with (e.g. smoke), be stuffy, be dense|VrugI|||||
7799|be muffled (e.g. voice)|VrugI|||||
7800|hold (a castle|VrugI|||||
7801|confine oneself in a temple to pray|VrugI|||||
7802|covet, crave, lust insatiably for|VrugT|||||
7803|indulge in, devour greedily|VrugT|||||
7804|search about for, hunt around for, look high and low for, look everywhere for|VrugT|||||
7805|sing, chirp, twitter|VrugI|||||
7806|follow (road), pursue (course), follow up, follow (hyperlink)|VrugT|||||
7807|be rested, feel at ease, repose, be relieved|VrugI|||||
7808|become weak|VrugI|||||
7809|rise to the surface|VrugI|||||
7810|come to the front, emerge (e.g. from obscurity)|VrugI|||||
7811|stand out (e.g. against a dark background)|VrugI|||||
7812|cramp up, tighten, stiffen|VrugI|||||
7813|be insistent, persist (in one's opinion), stick to one's guns|VrugI|||||
7814|act tough, bluff, be defiant, be unruly|VrugI|||||
7815|prop up (e.g. with a post), support|VrugT|||||
7816|push out (one's legs or arms), stretch (e.g. an arm against the wall), press|VrugT|||||
7817|thrust (one's opponent)|VrugT;ZSm|||||
