MM Index|Meaning|Type|Explanation|Rules|Example|Opposite|Synonym
128|verb object marker|PP|Used in a compound sentence for verbs using "ni" as the object marker.|X ni wa Y @ X = object, Y = verb taking "ni" as object marker (e.g. au)|843||
129|for (in regard to), in order to|PP|||||
130|noun modifier for use as subject|PP|This is a combination of two particles: a possessive marker "no" and a subject indicator "wa". It transforms the phrase (adverb, adjective, verb) into a noun for use as the subject of an enclosing phrase. The enclosing phrase in turn requires the "wa" subject marker according to the grammar rules governing it. For example, "eat food" is modified to "the eating of food" and is used as the subject of the phrase "the eating of food is good".|X no wa Y @ X = object, Y =phrase|1329;1330;1451;1452;1454||
131|but, however, though, nevertheless, still, yet, even so, also, as well|CO|ME#0142;0143||||
132|however, no matter how, even if, even though|PP|||||
133|... or something|PP|||||
134|either ... or ..., neither ... nor ...|PP|||||
135|pseudo-, quack, in-name-only|Px|||||
136|for lack of anything better to do|Px|||||
137|also there|PP|Combination of the particles "de" and "mo", literally: also (at a place) where the action is performed||||
138|I heard that …|PP|ME#0085;0086;0087;0088||||
139|if ... then|PP|Indicates supposition.||||
140|do you seriously think that|PP|Used as "katte", indicates a satirical or rhetorical question.||||
141|I already told you, you should know by now that, of course|PP|Indicates certainty, insistence, emphasis, etc.||||
142|you said, he said, she said, they said|PP|Abbreviation of "to iu".||||sou, to iu
143|the said ...|PP|Abbreviation of "to itteiru".||||
144|I hear that ...|PP|Abbreviation of "to kiiteiru".||||
145|as for the term ...|PP|Abbreviation of "to wa"/"to iu no wa".||||
146|as for ...|PP|Equivalent to "wa" topic marker.||||
147|says that ...|PP|||||
148|say/tell that|PC|ME#0174;0175||||
149|even if, even though|PC|ME#0092;0093;0094||||
150|wow|OI|Abbreviation of "satemo".||||
151|if ... then, when|PC|ME#0103;0104;0105;0106||||
152|and|PP|||||
153|why don't you...?|PP|||||
154|the more (one does something)|PP|||||
155|because, since|PP|||||
156|unless one ..., if one does not …|PC|ME#0107;0108;0109;0110||||
157|unless one ..., if one does not …|PC|ME#0111;0112;0113;0114||||
158|and|PC|ME#0158;0159||||
159|because of, (at the end of a phrase) notes one (of several) reasons|PC|ME#0115;0116;0117;0118||||
160|if ... then|PC|ME#0119;0120;0121;0122||||
161|when ... then|PC|ME#0123;0124;0125||||
162|indicates supposition, if ... then, when, after|PP|||||
163|(typically after someone's name) indicates exasperation|PP|||||
164|if not … then|PC|ME#0126;0127;0128||||
165|when not ... then|PC|ME#0129;0130;0131||||
166|then, therefore|CO|X therefore Y. Can also be used to start a sentence.|soshitara X @ X = phrase|||
167|that being the case, because of ..., the reason is ..., given that ...|CO|ME#0134;0135||||
168|and then, and so, and, so then|CO|ME#0136;0137||||
169|therefore|CO|ME#0138;0139;0140;0141||||
170|by means of|CO|X by means of Y.|X te/de Y @ X = action verb te-form, Y = action verb|1044||
171|and then, and so, and, so then, indicates continuing action|CO|ME#0233;0234||||
172|although, despite, even though, and yet|CO|ME#0155;0156;0157||||
173|whereas, while|PP|||||
174|if only, I wish|PP|||||
175|in order to, for the purpose of|VC|In order to [do/be] X. For the purpose of [doing/being] X. Similar to converting the verb to its gerund ("koto") form.|X no ni @ X = verb dict. form|983;1274||
176|while, during, as|PP|Describes an action Y done during X.|X nagara Y @ X = verb nagara form, Y = action verb teimasu form. Note: the sentence order is important.|959;960||
177|while, although, though, despite, in spite of, notwithstanding|PP|||||
178|all, both|PP|||||
179|as (e.g. "as always", "as long ago"), in (e.g. "in tears")|PP|||||
180|if, in case, if it is the case that, if it is true that, if that's the case, if so, that being the case|PP|If X is the case …|X nara @ X = phrase|||
181|as for, on the topic of|PP|As for X ...|X nara @ X = phrase|||
182|if possible, if circumstances allow|PP|If X is possible ... (abbrev. of naraba)|X nara @ X = phrase|||
183|and, or, and the like, and so forth, and what not|Sx;PP|ME#0251;0252;0253||||
184|the good out of …|PC|Out of X, the Y is good. Used by the speaker to single out a good item out of a set of items.|X wa Y ga ii desu @ X = noun describing a set of objects, Y = noun as subset of X|844||
185|as for|PC|As for X, Y is [verb]. Used by the speaker to describe an aspect [verb] of an item Y in an object/set X.|X wa Y ga (verb) @ X = subject 1, Y = subject 2|845;846||
186|worth|PC|[counter] X are worth [price] yen. Used to give the price of a number of counted items.|X [counter] de [price] en|847||
187|sold at|PC|Y (is/are being) sold at X. To indicate that an item is sold at a certain location, the progressive form "utteiru" of the verb "uru" (to sell) is used instead its passive form.|Y ga X de utteiru @ X = noun, Y = subject|||
188|will have|PC|I will have X. Used when requesting an item from a list, e.g. when ordering food at a restaurant.|X ni suru @ X = noun|848;1471;1472||
189|also|PC|X also Y so … . Used to express the speaker's point of view regarding a certain object/concept mentioned by another speaker.|X mo sou Y @ X = pronoun, Y = think, believe, observe, etc..|849||
190|that|CO|X that Y. Describes an action Y that the subject X is performing, or a state of being Y of a subject X. If this phrase is used as the subect of a sentence, then any "wa" subject markers are changed to "ga" to prevent confusion on the sentence's main subject.|Y X @ X = phrase, Y = action/state of being describing that phrase|850;851;852;853||
191|the way it is meant to be, as planned|PC|ME#0074;0075||||
192|it would be best if|PC|ME#0076;0077||||
193|no matter how much|PC|No matter how much [I/you/he/she] [does/is] X.|ikura X mo @ X = verb te form|||
194|... are different|PC||X to Y wa chigau @ X/Y = phrase|977||
195|would like?|PC|Would (you) like to [do/be] X?|X ii desu ka @ X = phrase in plain form|||
196|would like?|PC|Would (you) like to [do/be] X?|X ikaga desu ka @ X = phrase in plain form|||
197|is, am|PC|Is X, am X. Expresses a state of being. Formal and literary form of "desu".|X dearu @ X = phrase|1496||
198|was|PC|Was X.|X deatta @ X = phrase|||
199|is included|PC|X is included.|X ga tsuiteimasu|302||
200|is included|PC|X is included.|X ga hatteimasu|129||
201|or something|PC|Be X or something.|X ka nanika wo|||
202|or someone|PC|Be X or someone.|X ka dareka wo|||
203|or somewhere|PC|Be at X or somewhere.|X ka dokoka wo|||
204|probably|PC|(He) probably [does/is] X. Presumptive tense.|X darou @ X = verb plain form, i-adj., na-adj., noun|1357||
205|wonder if|PC|[I/you/he/she] wonder if [I/you/he/she] [does/is] X.|X darou @ X = question word (doko, dare, etc)|||
206|probably|PC|(He) probably [does/is] X. Presumptive tense, polite form.|X deshou @ X = verb plain form, i-adj., na-adj., noun|1356;1358;1359;1360||
207|wonder if|PC|[I/you/he/she] wonder if [I/you/he/she] [does/is] X.|X deshou @ X = question word (doko, dare, etc)|||
208|apart from|PC|Apart from X … .|X no hoka @ X = phrase|||
209|too much|PC|ME#0095;0096;0097||||
210|because of|PC|It's because of X. Use "nanda" at the end of a phrase. Used colloquially.|X nanda|||
211|what must one do when, what to do when|PC|What must one [do/be] when X? (answer with "Y ii desu")|X ii desu ka? @ X/Y = verb ba form|915||
212|what must one do when, what to do when|PC|What must one [do/be] when X? (answer with "Y ii desu")|X ii desu ka? @ X/Y = verb tara form|||
213|even if|CO|Y even if X. "if" condition used for more "poetic" phrases.|tatoe X mo Y @ X = phrase with verb in te form, Y = phrase|1465;1466;1467||
214|nevertheless, however|CO|X nevertheless Y, X however Y|X. sore ni shite mo Y @ Y = phrase|||
215|don't do but instead do|CO|Don't do X but instead do Y|X naide Y @ X/Y = action verb|950||
216|don't do without doing|CO|Don't do Y without doing X|X naide Y @ X naide = verb naide form, Y = sentence|||
217|don't do then do|CO|Not X and then Y.|X naide Y @ X/Y = action verb|1068||
218|not and instead|CO|Not X but Y instead|X ja nakute Y @ X/Y = phrase|958;337||
219|or, otherwise|CO|X or Y, X otherwise Y.|X mata wa Y @ X/Y = phrase|||
220|together with|CO|X together with Y.|X to issho ni Y @ X/Y = phrase|||
221|happening during|CO|ME#0169;0170;0171||||
222|before|CO||X uchi ni @ verb nai form|950||
223|happening in the midst of|CO|Action Y happening in the midst of event X.|X no tochuu de Y|978||
224|exists during a movement|CO|Y exists on the way during movement X.|X tochuu ni Y|979||
225|happening during a movement|CO|Action Y happening on the way during movement X.|X tochuu de Y @ X = movement|980;981||
226|tell/ask to do|PC|Tell/ask to [do/be] X|X you ni to Y @ X = action, Y = iu, tsutaeru|994;995||
227|hope that|PC|ME#0245;0246||||
228|hope that|PC|ME#0247;0248||||
229|say/tell that|PC|ME#0174;0175||||
230|people say that, it is said that|CE||X to iu @ X = phrase|104||
231|called, named|CE|Also used to emphasize something or some idea.||101;102;103||
232|as many as, as much as|CE|||||
233|all X, every X|CE|||||
234|say/tell that|PC|ME#0257;0258||||
235|think that|PC|ME#0176;0177||||
236|think that (but was mistaken)|PC|Think that X (but was mistaken).|X ka to omou @ X = noun, verb, na/i-adj.|||
237|not always|PC|ME#0178;0179||||
238|as far as|PC|As far as X.|X tokoro dewa|1009||
239|know/think/believe/see if is|PC|Do you Y if X is ...?|X ka Y ka? @ X = question, Y = know/think/believe/see/etc..|1010;1011;1012;1013;1014||
240|know/think/believe/see if is not|PC|Do you Y if X is ... or not?|X ka dou ka Y ka? @ X = question, Y = know/think/believe/see/etc..|1016;1017||
241|I don't know/think/believe if is or not|PC|ME#0180;0181;0182||||
242|In order to see if is or not|PC|In order to see if X is … or not.|X ka dou ka Y miru @ X = phrase, Y = verb in te-form|1349;1350||
243|become able to do|PC|To become able to be/do X. Replaces the invalid "eru + tai" construction.|X you ni naritai @ X = verb in eru (can do/be) form|||
244|not become able to do|PC|To not become able to be/do X. Replaces the invalid "eru + tai" construction.|X you ni naru kamo shirenai @ X = verb in eru (can do/be) form|||
245|similar|PC|Y resembles/similar to X.|X wa Y ni niteiru @ X = noun|1361||
246|toward, respective to|PC||X ni tai suru @ X = phrase|||
247|which is the most|PC|Which of X and Y is most [characteristic Z]?|X to Y to dochira ga Z @ X/Y = noun, Z = characteristic|767||
248|is the most out of all|PC|Out of all the X, Y is the most [characteristic Z].|X no naka de Y ga ichiban Z @ X/Y = noun, Z = characteristic|1050;1487||
249|more than|PC|ME#0215;0216;0217||||
250|between|PC|ME#0220;0221||||
251|less and a bit more|PC|Less X and a bit more Y.|X yori mou sukoshi Y @ Y = adj.|1057||
252|being done during|VC|X is being done (present progressive) while [doing/being] something.|X ite @ X = verb te form|||
253|being done during|VC|X is being done (present progressive) while [doing/being] something. Colloquial form of "teite/deite".|X te @ X = verb te form|||
254|being done|VC|X is being done (present progressive).|X iru @ X = verb te form|||
255|still being done|VC|X is a past action/event that is still relevant to the present (progressive).|X iru @ X = verb te form|652;1079||
256|being done|VC|X is being done (present progressive, humble).|X oru @ X = verb te form|||
257|still being done|VC|X is a past action/event that is still relevant to the present (progressive, humble).|X oru @ X = verb te form|||
258|been done|VC|X has (already) been done. Similar to use of "te iru", usually with the connotation of something already being (e.g. the window is already open"). The "te aru" form generally requires the "ga" object indicator.|X aru @ X = verb te form|1080;1081;1377||
259|continuing|VC|X has been happening and will continue to happen.|X iku @ X = verb te form|||
260|do while moving away|VC|To [do/be] X while moving away.|X iku @ X = verb te form|||
261|do then go somewhere|VC|To [do/be] X then go somewhere.|X iku @ X = verb te form|||
262|do in advance|VC|To [do/be] X preemptively, in preparation for, in advance for.|X oku @ X = verb te form|1069;1347;1418||ttoku
263|do in advance|VC|To [do/be] X preemptively, in preparation for, in advance for.|X ttoku @ X = verb root|1070||te oku
264|and then|VC|X and then Y.|X kara Y @ X = verb te form|1071;1072||
265|to come to do/be X|VC|Refers to an event that began in the past and is continuing in the present.|X kuru @ X = verb te form|||
266|do while approaching|VC|To [do/be] X while approaching.|X kuru @ X = verb te form|||
267|do then come over|VC|To [do/be] X then come over.|X kuru @ X = verb te form|||
268|is possible|VC|[doing/being] X is possible.|X mo ii da @ X = verb te form / sentence object|887;888;889;150||
269|must do|VC|||||
270|not permitted, forbidden|VC|[doing/being] X is not permitted/forbidden.|X wa ikenai @ X = verb te form / sentence object|890;483;1484||cha ikenai
271|not permitted, forbidden|VC|[doing/being] X is not permitted/forbidden. Colloquial form of "te wa ikenai" for verbs.|X cha ikenai @ X = verb root|1483||te wa ikenai
272|fine to do|VC|Is it fine if [I/you/he/she] [does/is] X?|X mo ii desu ka @ X = verb te form|891||
